,Account Number,Balance Date,Transaction Value,Balance
0,10005367,2023-01-31,,728.25
1,10005367,2023-02-02,-1097.6,-369.3499999999999
2,10005367,2023-02-04,144.75,-224.5999999999999
3,10005367,2023-02-04,-67.01,-291.6099999999999
4,10005367,2023-02-05,-108.26,-399.8699999999999
5,10005367,2023-02-08,941.0,541.1300000000001
6,10005367,2023-02-08,-65.49,475.6400000000001
7,10005367,2023-02-10,-27.61,448.0300000000001
8,10005367,2023-02-11,137.25,585.2800000000001
9,10011977,2023-01-31,,676.54
10,10011977,2023-02-02,-51.0,625.54
11,10011977,2023-02-03,120.88,746.42
12,10011977,2023-02-04,58.05,804.4699999999999
13,10011977,2023-02-04,-170.56,633.91
14,10011977,2023-02-04,-189.38,444.53
15,10011977,2023-02-05,-124.61,319.91999999999996
16,10011977,2023-02-08,133.74,453.65999999999997
17,10011977,2023-02-10,-103.55,350.10999999999996
18,10011977,2023-02-11,-43.89,306.21999999999997
19,10011977,2023-02-14,1100.7,1406.92
20,10024680,2023-01-31,,567.46
21,10024680,2023-02-01,-153.43,414.03000000000003
22,10024680,2023-02-03,676.5,1090.53
23,10024680,2023-02-07,-91.92,998.61
24,10024680,2023-02-07,-127.45,871.16
25,10024680,2023-02-08,-138.18,732.98
26,10031238,2023-01-31,,576.52
27,10031238,2023-02-05,121.7,698.22
28,10031238,2023-02-05,-110.07,588.15
29,10031238,2023-02-09,-35.39,552.76
30,10031238,2023-02-10,65.02,617.78
31,10031238,2023-02-10,-160.6,457.18
32,10031238,2023-02-11,-157.96,299.22
33,10034341,2023-01-31,,390.39
34,10034341,2023-02-03,1566.6,1956.9899999999998
35,10034341,2023-02-05,-217.15,1739.8399999999997
36,10034341,2023-02-08,-110.25,1629.5899999999997
37,10034341,2023-02-12,123.13,1752.7199999999998
38,10034341,2023-02-14,-74.72,1677.9999999999998
39,10079965,2023-01-31,,799.27
40,10079965,2023-02-03,156.35,955.62
41,10079965,2023-02-08,-63.9,891.72
42,10079965,2023-02-08,-132.2,759.52
43,10079965,2023-02-08,-442.3,317.21999999999997
44,10091076,2023-01-31,,831.83
45,10091076,2023-02-01,75.45,907.2800000000001
46,10091076,2023-02-01,-18.77,888.51
47,10091076,2023-02-01,-83.96,804.5500000000001
48,10091076,2023-02-05,53.92,858.47
49,10091076,2023-02-14,53.72,912.19
50,10091076,2023-02-14,-10.22,901.97
51,10231977,2023-01-31,,61.63
52,10231977,2023-02-01,116.0,177.63
53,10231977,2023-02-08,-68.31,109.32
54,10231977,2023-02-09,-1410.1,-1300.78
55,10231977,2023-02-14,78.92,-1221.86
56,10231977,2023-02-14,-723.4,-1945.26
57,10232603,2023-01-31,,732.55
58,10232603,2023-02-01,125.68,858.23
59,10232603,2023-02-02,-1190.9,-332.6700000000001
60,10232603,2023-02-04,-888.9,-1221.5700000000002
61,10232603,2023-02-06,88.22,-1133.3500000000001
62,10232603,2023-02-07,-185.47,-1318.8200000000002
63,10232603,2023-02-10,85.03,-1233.79
64,10232603,2023-02-10,-1128.4,-2362.19
65,10243581,2023-01-31,,104.27
66,10243581,2023-02-04,-109.65,-5.38000000000001
67,10243581,2023-02-06,-78.93,-84.31000000000002
68,10243581,2023-02-10,83.3,-1.0100000000000193
69,10243581,2023-02-12,-1482.9,-1483.91
70,10243581,2023-02-13,-20.17,-1504.0800000000002
71,10243581,2023-02-14,-134.51,-1638.5900000000001
72,10271519,2023-01-31,,50.02
73,10271519,2023-02-03,2285.6,2335.62
74,10271519,2023-02-03,95.05,2430.67
75,10271519,2023-02-03,17.57,2448.24
76,10271519,2023-02-03,-100.99,2347.25
77,10271519,2023-02-11,-89.55,2257.7
78,10271519,2023-02-12,98.81,2356.5099999999998
79,10271519,2023-02-12,76.71,2433.22
80,10273387,2023-01-31,,581.83
81,10273387,2023-02-03,113.03,694.86
82,10273387,2023-02-03,-556.5,138.36
83,10273387,2023-02-06,181.24,319.6
84,10273387,2023-02-07,-38.41,281.19000000000005
85,10273387,2023-02-08,-140.45,140.74000000000004
86,10273387,2023-02-10,138.8,279.5400000000001
87,10273387,2023-02-10,-71.11,208.43000000000006
88,10273387,2023-02-12,130.68,339.11000000000007
89,10273387,2023-02-14,278.4,617.51
90,10288821,2023-01-31,,642.41
91,10288821,2023-02-07,-151.7,490.71
92,10288821,2023-02-11,85.41,576.12
93,10288821,2023-02-12,228.52,804.64
94,10288821,2023-02-14,94.21,898.85
95,10295384,2023-01-31,,153.85
96,10295384,2023-02-03,10.64,164.49
97,10295384,2023-02-04,55.98,220.47
98,10295384,2023-02-04,-96.09,124.38
99,10295384,2023-02-06,100.34,224.72
